Course,A rate,Pass rate,Withdraw rate
FNR 4990,80.0,96.0,0.0
FOR 2050,33.333333333333336,78.66666666666667,3.0
FOR 2210,24.0,76.0,0.0
FOR 3020,40.0,100.0,0.0
FOR 3040,74.0,99.0,0.0
FOR 3410,83.0,100.0,0.0
FOR 4100,91.0,97.0,3.0
FOR 4130,61.0,100.0,0.0
FOR 4150,93.0,96.0,3.0
FOR 4160,80.0,100.0,0.0
FOR 4310,84.0,100.0,0.0
FOR 4330,83.0,100.0,0.0
FOR 4340,69.0,98.0,0.0
FOR 8930,84.0,95.0,5.0
FR 1010,82.33333333333333,95.66666666666666,3.0
FR 1020,54.5,80.5,12.0
FR 2010,48.5,95.5,2.0
FR 2020,77.5,97.5,0.0
FR 3050,55.0,100.0,0.0
FR 3070,85.0,100.0,0.0
GBS 1000,88.0,95.5,2.5
GBS 1010,67.0,83.0,8.0
GC 1020,62.0,96.0,2.0
GC 1040,67.0,95.0,0.0
GC 1050,69.0,92.66666666666667,1.6666666666666667
GC 2070,81.0,98.0,2.0
GC 2400,76.0,94.0,4.0
GC 3400,34.0,84.0,5.0
GC 3450,75.0,90.0,0.0
GC 3460,53.0,96.0,0.0
GC 3600,85.0,100.0,0.0
GC 3620,85.0,95.0,5.0
GC 3710,89.0,97.0,3.0
GC 3730,74.0,100.0,0.0
GC 3760,87.0,100.0,0.0
GC 3780,95.0,98.0,3.0
GC 3800,66.0,93.0,2.0
GC 3990,33.0,100.0,0.0
GC 4060,78.0,100.0,0.0
GC 4400,46.0,98.0,0.0
GC 4440,53.0,94.0,0.0
GC 4500,88.0,101.0,0.0
GC 4800,64.0,89.0,0.0
GC 4900,91.0,95.5,0.0
GEN 1030,96.0,100.0,0.0
GEN 3000,85.66666666666667,99.0,0.6666666666666666
GEN 3020,73.5,97.0,0.0
GEN 4100,43.0,97.0,2.0
GEN 4110,84.0,97.0,3.5
GEN 4400,76.0,92.0,0.0
GEN 4600,38.0,81.0,19.0
GEN 8100,89.0,100.0,0.0
GEOG 1030,37.0,94.0,1.0
GEOG 1060,24.0,92.5,8.0
GEOG 3100,55.0,82.0,0.0
GEOL 1010,54.0,90.25,1.0
GEOL 1030,62.4375,91.25,3.125
GEOL 1120,54.0,96.0,1.0
GEOL 1140,60.0,96.0,1.0
GEOL 1200,60.0,97.0,1.0
GEOL 2050,62.0,100.0,0.0
GEOL 2070,69.0,100.0,0.0
GEOL 2300,38.0,88.0,0.0
GEOL 3000,79.0,98.0,2.0
GEOL 3020,73.0,100.0,0.0
GEOL 4150,46.0,76.0,8.0
GEOL 4820,10.0,70.0,20.0
GEOL 4910,75.0,100.0,0.0
GEOL 6820,67.0,100.0,0.0
GEOL 8080,71.0,100.0,0.0
GER 1010,61.0,84.0,6.0
GER 1020,58.0,99.0,0.0
GER 2010,52.5,93.0,3.5
GER 2020,20.0,96.0,0.0
GER 2400,82.0,101.0,0.0
GER 2600,50.0,83.0,11.0
GER 3150,64.0,100.0,0.0
GLCH 1550,85.0,97.0,3.0
GLCH 3510,69.0,87.0,5.0
HCC 8310,84.0,100.0,0.0
HCC 8330,71.0,100.0,0.0
HIST 1000,92.0,96.0,2.0
HIST 1010,59.75,98.0,1.125
HIST 1020,60.5,97.5,0.0
HIST 1240,55.0,98.0,1.0
HIST 1720,61.5,93.0,3.0
HIST 1730,77.0,96.0,0.0
HIST 1930,55.5,94.0,4.5
HIST 2140,64.0,85.0,0.0
HIST 2990,51.5,89.5,4.5
HIST 3010,80.0,97.0,0.0
HIST 3080,55.0,91.0,0.0
HIST 3110,77.0,91.0,5.0
HIST 3170,50.0,100.0,0.0
HIST 3280,87.0,100.0,0.0
HIST 3290,73.0,97.0,3.0
HIST 3300,25.0,75.0,17.0
HIST 3510,35.0,80.0,5.0
HIST 3550,63.0,93.0,0.0
HIST 3610,48.0,83.0,0.0
HIST 3670,66.0,94.0,0.0
HIST 3850,67.0,100.0,0.0
HIST 4370,33.0,90.0,0.0
HIST 4600,73.0,93.0,0.0
HIST 4700,81.0,87.0,0.0
HIST 4870,61.0,99.0,0.0
HIST 4900,79.0,95.33333333333333,0.0
HIST 4960,57.0,96.0,4.0
HIST 8200,80.0,100.0,0.0
HIST 8540,86.0,100.0,0.0
HIST 8810,75.0,100.0,0.0
HLTH 2020,79.66666666666667,99.00000000000001,0.5
HLTH 2030,74.0,98.33333333333333,0.0
HLTH 2400,85.5,100.0,0.0
HLTH 2600,87.0,101.0,0.0
HLTH 2980,84.25,98.75,1.5
HLTH 3030,75.0,100.0,0.0
HLTH 3100,62.0,100.0,0.0
HLTH 3400,88.0,100.0,0.0
HLTH 3610,74.0,92.5,8.0
HLTH 3800,76.5,100.25,0.0
HLTH 4000,93.0,97.0,0.0
HLTH 4200,96.0,98.0,2.0
HLTH 4400,78.0,97.0,0.0
HLTH 4700,92.0,100.0,0.0
HLTH 4900,59.0,99.5,0.0
HLTH 8000,92.0,100.0,0.0
HLTH 8090,50.0,100.0,0.0
HLTH 8120,60.0,85.0,10.0
HLTH 8210,60.0,90.0,0.0
HON 1900,79.0,95.0,5.0
HON 1920,95.0,100.0,0.0
HON 1960,95.0,100.0,0.0
HON 2020,63.0,84.0,16.0
HON 2030,82.5,100.0,0.0
HON 2060,94.0,100.0,0.0
HON 2210,78.0,100.0,0.0
HON 2230,95.0,100.0,0.0
HON 2820,92.0,92.0,8.0
HON 3960,94.0,100.0,0.0
HORT 1010,93.0,97.0,2.0
HORT 2120,64.0,91.0,9.0
HORT 2130,86.0,86.0,14.0
HORT 3030,10.0,46.0,12.0
HORT 3080,88.0,99.0,3.0
HORT 4080,86.0,100.0,0.0
HORT 4400,39.0,83.0,17.0
HP 8010,67.0,100.0,0.0
HP 8070,87.0,100.0,0.0
HP 8190,87.0,100.0,0.0
HRD 8120,85.0,93.0,0.0
HRD 8470,80.0,95.0,0.0
HUM 3060,11.0,77.0,0.0
IE 2100,52.0,97.0,1.0
IE 3010,60.0,101.0,0.0
IE 3600,36.0,84.0,0.0
IE 3610,57.0,95.0,0.0
IE 3800,29.0,79.0,3.0
IE 3810,34.0,82.0,3.0
IE 3840,81.0,95.0,0.0
IE 3860,78.0,92.0,2.0
IE 4400,69.0,95.0,1.0
IE 4560,32.0,86.0,0.0
IE 4570,92.0,98.0,0.0
IE 4610,28.0,98.0,0.0
IE 4620,91.0,100.0,0.0
IE 4640,79.0,100.0,0.0
IE 4650,29.0,92.0,3.0
IE 4670,72.0,100.0,0.0
IE 4820,91.0,99.0,0.0
IE 4880,82.0,99.5,0.0
IE 6650,67.0,101.0,0.0
IE 8000,34.0,100.0,0.0
IE 8030,55.0,101.0,0.0
IE 8060,25.0,91.0,8.0
IE 8090,14.0,68.0,0.0
IE 8530,82.0,91.0,0.0
IE 8780,50.0,100.0,0.0
IE 8900,50.0,100.0,0.0
INNO 3990,86.0,86.0,14.0
ITAL 1010,72.5,100.0,0.0
ITAL 2010,62.0,95.0,5.0
JAPN 1010,45.0,81.5,7.0
JAPN 1020,42.0,92.0,8.0
JAPN 2010,35.0,85.0,5.0
JAPN 3050,42.0,100.0,0.0
JAPN 3160,53.0,99.0,0.0
JAPN 4990,45.0,90.0,9.0
JUST 2050,58.0,86.5,7.5
JUST 2880,50.5,90.5,2.0
JUST 2890,77.0,97.0,0.0
JUST 3140,65.0,96.0,0.0
JUST 3190,60.0,95.0,0.0
JUST 3220,88.0,88.0,6.0
JUST 3280,83.0,100.0,0.0
JUST 3500,84.0,100.0,0.0
JUST 3840,81.0,100.0,0.0
JUST 4130,45.0,97.0,0.0
JUST 4150,89.0,101.0,0.0
JUST 4200,33.0,93.0,0.0
JUST 4280,91.0,99.5,0.0
JUST 4680,52.0,95.0,0.0
JUST 4850,80.0,95.0,0.0
JUST 4910,76.5,94.5,1.0
JUST 4930,63.0,96.0,2.0
JUST 4950,50.0,98.0,0.0
LANG 3000,53.0,82.0,6.0
LANG 3100,25.0,75.0,25.0
LANG 4540,56.0,89.0,11.0
LARC 1150,78.5,94.5,5.0
LARC 1280,91.0,100.0,0.0
LARC 1510,71.0,95.0,6.0
LARC 2140,56.0,84.0,4.0
LARC 2510,52.5,100.0,0.0
LARC 2620,31.0,100.0,0.0
LARC 3510,60.0,100.0,0.0
LARC 3810,66.0,101.0,0.0
LARC 4550,40.0,100.0,0.0
LARC 4620,56.5,100.0,0.0
LARC 6530,80.0,90.0,10.0
LARC 8010,57.0,86.0,14.0
LARC 8140,71.0,85.0,14.0
LARC 8430,50.0,100.0,0.0
LARC 8610,67.0,100.0,0.0
LARC 8630,40.0,100.0,0.0
LAW 3220,48.6,96.05,1.5
LAW 3330,14.0,89.0,3.0
LAW 3400,57.0,100.0,0.0
LAW 4200,56.0,96.0,4.0
LS 1000,89.83333333333333,96.5,3.6666666666666665
LS 1560,82.0,100.0,0.0
LS 1640,83.0,91.0,8.0
LS 1790,90.0,90.0,10.0
LS 2320,88.0,95.5,2.5
LS 2350,91.5,100.0,0.0
LS 2360,71.0,101.0,0.0
LS 2420,82.16666666666667,98.0,2.1666666666666665
LS 2450,89.5,94.0,2.5
LS 2510,89.0,89.0,5.0
LS 2750,75.0,100.0,0.0
MATH 1010,42.0,89.8,4.8
MATH 1020,34.91304347826087,79.82608695652175,7.260869565217392
MATH 1030,32.0,90.5,7.5
MATH 1060,43.94117647058823,89.29411764705883,3.235294117647059
MATH 1070,13.0,67.0,7.5
MATH 1080,29.23076923076923,75.46153846153845,8.307692307692308
MATH 1150,83.66666666666667,99.33333333333334,0.0
MATH 1160,42.0,100.0,0.0
MATH 2060,37.90909090909091,84.27272727272727,4.818181818181818
MATH 2070,43.27272727272727,81.0,7.545454545454546
MATH 2080,43.166666666666664,83.66666666666667,5.0
MATH 2150,52.0,90.0,3.0
MATH 2160,58.333333333333336,91.66666666666667,1.3333333333333333
MATH 2500,97.0,97.0,3.0
MATH 2800,79.0,96.33333333333333,2.3333333333333335
MATH 3020,36.333333333333336,97.11111111111111,1.1111111111111112
MATH 3110,45.77777777777778,85.66666666666667,4.333333333333333
MATH 3190,64.0,86.0,3.5
MATH 3600,70.0,79.0,13.0
MATH 3650,31.714285714285715,89.71428571428571,2.7142857142857144
MATH 4000,41.0,92.5,4.5
MATH 4020,70.0,100.0,0.0
MATH 4070,86.0,100.0,0.0
MATH 4120,32.0,88.0,0.0
MATH 4190,64.0,78.0,7.0
MATH 4300,85.0,100.0,0.0
MATH 4340,43.0,78.5,0.0
MATH 4350,44.0,82.0,0.0
MATH 4400,16.0,80.0,6.0
MATH 4410,57.0,86.0,0.0
MATH 4530,2.0,66.0,2.0
MATH 4540,33.0,72.0,6.0
MATH 4990,86.0,86.0,14.0
MATH 8000,62.0,85.5,9.5
MATH 8010,27.0,99.0,0.0
MATH 8050,45.0,99.0,0.0
MATH 8090,60.0,100.0,0.0
MATH 8100,73.0,91.0,9.0
MATH 8210,54.0,94.0,3.0
MATH 8530,43.0,93.0,0.0
MATH 8550,80.0,90.0,0.0
MATH 8600,33.0,95.0,5.0
MATH 8650,61.0,100.0,0.0
MATH 8660,43.0,72.0,0.0
MATH 8820,67.0,100.0,0.0
MATH 9500,80.0,100.0,0.0
MBA 8020,71.0,97.0,2.0
MBA 8030,51.666666666666664,86.33333333333333,2.6666666666666665
MBA 8060,74.5,100.5,0.0
MBA 8070,62.0,96.33333333333334,3.6666666666666665
MBA 8080,68.5,100.5,0.0
MBA 8090,81.0,98.66666666666667,0.0
MBA 8160,35.0,84.5,3.5
MBA 8190,39.0,90.0,1.5
MBA 8310,71.0,100.0,0.0
MBA 8330,52.0,95.0,4.0
MBA 8370,60.0,100.0,0.0
MBA 8430,86.0,100.0,0.0
MBA 8470,79.0,100.0,0.0
MBA 8480,62.0,99.0,0.0
MBA 8490,64.0,96.0,5.0
MBA 8540,57.0,97.0,0.0
MBA 8590,66.33333333333333,95.99999999999999,0.0
MBA 8600,80.66666666666667,98.33333333333333,0.0
MBA 8610,80.0,99.0,1.0
MBA 8620,67.0,100.5,0.0
MBA 8990,86.0,99.0,1.0
ME 2000,91.0,98.0,1.0
ME 2030,17.5,66.0,9.0
ME 2040,22.5,98.0,1.0
ME 2050,26.6,85.2,6.0
ME 2060,9.5,75.5,2.5
ME 2070,60.5,98.99999999999999,1.0
ME 2220,45.63636363636363,99.0909090909091,0.0
ME 2900,75.0,75.0,25.0
ME 3030,36.666666666666664,95.99999999999999,1.3333333333333333
ME 3040,16.0,94.5,1.0
ME 3050,25.666666666666668,88.33333333333333,2.0
ME 3060,40.0,91.66666666666666,2.0
ME 3080,38.6,93.0,0.6
ME 3120,46.5,100.0,0.0
ME 3330,55.8,98.4,0.6
ME 4000,92.0,99.0,0.0
ME 4010,81.33333333333333,99.66666666666666,0.0
ME 4020,69.5,100.0,0.0
ME 4030,55.0,98.5,0.5
ME 4180,63.0,96.0,4.0
ME 4210,22.0,83.0,6.0
ME 4230,38.0,96.0,0.0
ME 4320,56.0,100.0,0.0
ME 4340,38.0,90.0,10.0
ME 4440,72.875,100.0,0.0
ME 4610,71.0,96.0,0.0
ME 6230,60.0,100.0,0.0
ME 6320,64.0,100.0,0.0
ME 8010,77.0,100.0,0.0
ME 8180,68.0,86.0,15.0
ME 8220,58.0,83.0,0.0
ME 8230,43.0,100.0,0.0
ME 8460,33.0,100.0,0.0
ME 8700,26.0,98.0,0.0
ME 8710,54.0,93.0,5.0
MGT 2010,67.23076923076923,98.53846153846155,0.5384615384615384
MGT 3030,33.4,89.6,5.4
MGT 3070,76.5,99.75,0.375
MGT 3100,48.666666666666664,88.77777777777777,4.555555555555555
MGT 3120,43.285714285714285,90.0,5.428571428571429
MGT 3180,59.42857142857143,98.28571428571429,0.7142857142857143
MGT 3500,82.0,95.0,3.0
MGT 3900,46.857142857142854,96.14285714285714,0.2857142857142857
MGT 4000,49.2,98.4,0.0
MGT 4020,26.0,87.0,10.0
MGT 4080,44.0,91.0,9.0
MGT 4110,57.0,100.0,0.0
MGT 4120,49.0,98.0,2.0
MGT 4150,49.125,99.75,0.0
MGT 4160,81.0,100.0,0.0
MGT 4240,32.0,98.0,0.0
MGT 4270,19.0,88.0,0.0
MGT 4310,87.0,97.0,3.0
MGT 4350,70.0,98.0,0.0
MGT 4500,45.0,90.0,3.0
MGT 4520,47.0,97.0,3.0
MGT 4540,67.0,101.0,0.0
MGT 4560,35.0,100.0,0.0
MGT 8690,93.0,101.0,0.0
MICR 2050,50.0,99.0,1.0
MICR 3050,49.0,91.0,1.0
MICR 3060,72.3125,97.6875,1.3125
MICR 4040,68.0,99.0,0.0
MICR 4050,55.0,100.0,0.0
MICR 4140,53.0,93.5,5.0
MICR 4150,16.0,88.0,0.0
MICR 4160,92.0,100.0,0.0
MICR 4180,52.0,100.0,0.0
MICR 4510,85.0,100.0,0.0
MICR 4940,73.5,83.5,0.0
MICR 6050,67.0,100.0,0.0
MKT 3010,52.22222222222222,96.66666666666667,0.5555555555555556
MKT 3020,48.2,95.0,0.8
MKT 3030,76.5,99.0,0.25
MKT 3210,80.33333333333333,98.66666666666666,0.0
MKT 3220,71.33333333333333,98.33333333333333,0.6666666666666666
MKT 3250,71.75,99.25,0.0
MKT 3310,69.5,98.0,2.0
MKT 3320,89.0,99.33333333333334,0.6666666666666666
MKT 3980,67.0,67.0,33.0
MKT 4220,53.0,100.0,0.0
MKT 4230,27.0,93.0,1.5
MKT 4240,58.0,100.0,0.0
MKT 4250,30.0,97.0,0.0
MKT 4270,85.25,99.5,0.5
MKT 4300,90.0,97.0,0.0
MKT 4310,48.0,100.00000000000001,0.0
MKT 4500,78.66666666666667,100.16666666666667,0.0
MKT 8620,68.0,100.0,0.0
MKT 8660,56.0,101.0,0.0
MSE 2100,54.5,94.33333333333333,2.3333333333333335
MSE 3260,65.0,90.0,0.0
MSE 3900,75.0,75.0,25.0
MSE 3910,81.0,94.0,0.0
MSE 4150,46.666666666666664,93.66666666666666,1.3333333333333333
MSE 4280,47.0,101.0,0.0
MSE 4900,64.0,100.0,0.0
MSE 6280,40.0,100.0,0.0
MSE 8100,55.0,100.0,0.0
MSE 8270,33.0,99.0,0.0
MUSC 1010,63.6,95.6,5.2
MUSC 1110,73.4,81.80000000000001,18.2
MUSC 1420,42.0,95.0,0.0
MUSC 1430,52.0,95.0,0.0
MUSC 1510,73.0,85.5,14.5
MUSC 1520,67.0,67.0,33.0
MUSC 1530,78.0,89.0,0.0
MUSC 2100,76.375,97.0,2.0
MUSC 2530,50.0,75.0,0.0
MUSC 3110,86.0,93.0,3.0
MUSC 3120,79.5,96.5,1.5
MUSC 3140,66.0,101.0,0.0
MUSC 3150,96.0,100.0,0.0
MUSC 3530,60.0,100.0,0.0
MUSC 3610,98.0,99.0,1.0
MUSC 3690,96.0,96.0,4.0
MUSC 3700,90.0,96.0,4.0
MUSC 3720,80.0,95.0,0.0
MUSC 4150,55.0,96.0,0.0
NPL 3000,72.0,94.4375,1.25
NPL 3010,73.0,98.5,2.0
NPL 3020,80.0,100.0,0.0
NPL 3030,74.0,91.5,2.0
NPL 3040,72.5,98.0,0.0
NPL 3050,83.0,97.5,1.0
NURS 3030,23.0,100.0,0.0
NURS 3040,55.25,96.5,0.5
NURS 3050,83.0,100.0,0.0
NURS 3070,88.0,88.0,0.0
NURS 3100,65.0,98.0,0.0
NURS 3120,63.333333333333336,99.33333333333333,0.6666666666666666
NURS 3230,95.0,98.5,1.0
NURS 3300,84.0,98.0,0.0
NURS 3330,83.0,97.0,3.0
NURS 3400,45.333333333333336,96.0,0.6666666666666666
NURS 3980,75.0,75.0,25.0
NURS 4010,62.0,100.0,0.0
NURS 4030,82.0,100.33333333333333,0.0
NURS 4060,50.0,100.0,0.0
NURS 4110,56.0,100.0,0.0
NURS 4120,75.0,100.0,0.0
NURS 4150,90.0,100.0,0.0
NURS 4250,88.0,94.0,0.0
NURS 8040,80.0,90.0,10.0
NURS 8060,81.0,92.0,4.0
NURS 8200,57.0,86.0,0.0
NURS 8210,71.0,100.0,0.0
NURS 9020,65.0,100.0,0.0
NUTR 1010,52.0,98.0,2.0
NUTR 2030,51.0,98.0,0.5
NUTR 2050,97.0,99.0,1.0
NUTR 2160,81.0,97.0,0.0
NUTR 3020,93.0,100.0,0.0
NUTR 4240,71.0,92.0,7.0
NUTR 4260,95.0,101.0,0.0
NUTR 4510,33.0,95.0,0.0
PA 1010,89.0,95.0,0.0
PA 2010,89.0,101.0,0.0
PA 2790,54.0,93.0,0.0
PA 2800,54.0,92.0,8.0
PA 3010,64.0,92.0,0.0
PADM 8220,80.0,80.0,10.0
PADM 8450,82.0,91.0,0.0
PADM 8510,67.0,93.0,7.0
PADM 8620,81.0,93.0,0.0
PADM 8670,83.0,100.0,0.0
PADM 8780,78.75,93.5,0.0
PCID 3040,72.91304347826087,96.60869565217392,1.0434782608695652
PCID 3140,74.46153846153847,97.53846153846155,0.6153846153846154
PCID 3150,64.25,93.0,3.25
PES 1040,75.0,98.0,3.0
PES 2020,31.0,89.0,0.0
PES 3150,24.0,77.0,0.0
PES 3350,69.0,100.0,0.0
PES 3400,71.0,94.0,0.0
PES 4090,77.0,100.0,0.0
PES 4970,80.0,100.0,0.0
PES 8060,70.0,100.0,0.0
PES 8900,86.0,100.0,0.0
PHIL 1010,57.57142857142857,94.71428571428572,4.428571428571429
PHIL 1020,61.166666666666664,96.83333333333333,1.0
PHIL 1030,72.5,97.0,2.1666666666666665
PHIL 1040,58.0,97.0,0.0
PHIL 3120,50.0,94.0,6.0
PHIL 3150,33.0,100.0,0.0
PHIL 3200,58.0,91.0,8.0
PHIL 3210,60.0,100.0,0.0
PHIL 3260,90.0,96.0,1.0
PHIL 3300,64.0,91.0,0.0
PHIL 3330,60.0,80.0,0.0
PHIL 3440,57.0,91.0,10.0
PHIL 3460,58.0,91.0,0.0
PHIL 3550,23.0,85.0,8.0
PHIL 3990,80.0,100.0,0.0
PHIL 4920,88.0,92.5,7.5
PHSC 1180,80.5,100.0,0.0
PHYS 1010,74.0,82.0,11.0
PHYS 1220,40.0,89.33333333333334,2.3333333333333335
PHYS 1240,77.2,96.66666666666667,2.466666666666667
PHYS 1990,85.0,85.0,15.0
PHYS 2070,57.0,92.0,3.6666666666666665
PHYS 2080,46.0,89.0,5.0
PHYS 2090,80.6923076923077,96.0,2.4615384615384617
PHYS 2100,75.33333333333333,97.0,1.5
PHYS 2210,30.8,95.0,1.2
PHYS 2220,57.0,100.0,0.0
PHYS 2230,69.75,96.125,0.875
PHYS 2240,89.0,99.0,0.0
PHYS 2450,72.0,97.0,0.0
PHYS 3000,75.0,94.0,0.0
PHYS 3150,55.0,95.0,5.0
PHYS 3210,41.0,93.0,6.0
PHYS 3250,42.0,95.0,5.0
PHYS 4410,36.0,88.0,4.0
PHYS 4550,55.0,100.0,0.0
PHYS 6210,50.0,83.0,17.0
PHYS 6550,40.0,80.0,20.0
PHYS 8110,73.0,100.0,0.0
PHYS 8210,47.0,100.0,0.0
PHYS 9510,68.0,100.0,0.0
PKSC 1010,70.0,95.0,0.0
PKSC 1020,8.0,68.0,11.0
PKSC 2010,10.0,70.0,10.0
PKSC 2020,17.0,87.0,0.0
PKSC 2200,68.0,97.0,0.0
PKSC 3200,63.0,100.0,0.0
PKSC 4010,39.0,97.0,0.0
PKSC 4040,31.0,89.0,2.0
PKSC 4160,55.0,94.0,3.0
PKSC 4200,92.0,100.0,0.0
PKSC 4400,69.0,100.0,0.0
PKSC 4540,58.5,100.5,0.0
PKSC 4640,88.0,100.0,0.0
PLPA 3100,21.0,71.0,3.0
POSC 1010,42.92307692307692,93.84615384615384,1.4615384615384615
POSC 1020,47.0,89.5,6.0
POSC 1030,45.375,93.125,2.25
POSC 1040,67.66666666666667,93.0,4.666666666666667
POSC 1990,69.0,96.0,0.0
POSC 3020,43.0,87.5,9.0
POSC 3050,85.66666666666667,85.66666666666667,14.666666666666666
POSC 3100,91.0,91.0,0.0
POSC 3210,59.5,98.0,0.0
POSC 3410,21.5,92.0,2.0
POSC 3510,52.0,100.0,0.0
POSC 3530,64.5,89.5,10.0
POSC 3610,58.0,96.0,0.0
POSC 3620,43.0,96.0,0.0
POSC 3630,41.0,92.0,7.0
POSC 3750,33.0,95.0,4.0
POSC 4030,49.0,98.0,0.0
POSC 4050,7.0,62.0,15.0
POSC 4080,55.0,95.0,0.0
POSC 4160,50.0,86.0,0.0
POSC 4210,40.0,65.0,15.0
POSC 4240,67.0,94.0,7.0
POSC 4360,49.0,92.0,5.0
POSC 4370,62.0,98.5,0.0
POSC 4420,65.0,85.0,12.0
POSC 4440,40.0,72.0,14.0
POSC 4470,31.0,73.0,15.0
POSC 4500,47.0,100.0,0.0
POSC 4530,73.5,100.5,0.0
POSC 4660,81.0,100.0,0.0
POSC 4780,52.0,91.0,9.0
POSC 4900,83.0,83.0,0.0
PRTM 2110,63.0,91.0,3.0
PRTM 2140,80.0,94.0,0.0
PRTM 2200,45.0,90.66666666666667,1.6666666666666667
PRTM 2220,65.0,97.66666666666666,1.6666666666666667
PRTM 2260,33.666666666666664,94.33333333333333,1.6666666666666667
PRTM 2540,78.0,96.0,0.0
PRTM 3010,50.5,94.0,2.0
PRTM 3030,90.0,98.0,0.0
PRTM 3050,49.0,92.0,0.0
PRTM 3090,70.0,98.0,0.0
PRTM 3200,59.0,95.0,1.5
PRTM 3230,83.0,100.0,0.0
PRTM 3240,83.0,100.0,0.0
PRTM 3250,80.0,95.5,0.0
PRTM 3300,79.0,90.0,4.0
PRTM 3420,92.0,100.0,0.0
PRTM 3440,76.0,98.0,0.0
PRTM 3450,60.0,95.0,0.0
PRTM 3470,67.0,101.0,0.0
PRTM 3500,79.33333333333333,98.0,1.3333333333333333
PRTM 3600,79.0,100.0,0.0
PRTM 3610,50.0,100.0,0.0
PRTM 3920,75.0,98.0,3.0
PRTM 3980,60.0,100.0,0.0
PRTM 4030,75.0,92.0,0.0
PRTM 4090,36.5,97.0,0.0
PRTM 4410,28.0,100.0,0.0
PRTM 4470,93.0,101.0,0.0
PRTM 4530,66.0,98.0,3.0
PRTM 4540,56.0,85.0,4.0
PRTM 9000,78.0,89.0,11.0
PSYC 1810,85.0,95.0,0.0
PSYC 2010,63.4,95.0,2.2
PSYC 2030,53.0,97.0,2.0
PSYC 2750,46.0,84.0,12.0
PSYC 3060,51.0,94.0,3.0
PSYC 3090,33.333333333333336,92.66666666666667,2.6666666666666665
PSYC 3100,54.625,95.375,1.125
PSYC 3210,80.0,97.5,0.0
PSYC 3220,40.0,93.0,4.5
PSYC 3240,40.333333333333336,75.33333333333334,12.333333333333334
PSYC 3300,94.0,98.0,1.0
PSYC 3330,63.0,99.0,0.0
PSYC 3340,87.0,94.0,3.0
PSYC 3350,60.0,88.0,4.0
PSYC 3400,47.0,93.75,1.25
PSYC 3620,52.0,100.0,0.0
PSYC 3640,87.0,98.0,2.0
PSYC 3680,40.0,91.0,3.0
PSYC 3700,32.0,84.5,3.5
PSYC 3830,88.0,98.5,0.0
PSYC 3890,94.0,100.0,0.0
PSYC 4080,63.0,100.0,0.0
PSYC 4150,87.5,97.0,0.0
PSYC 4800,76.33333333333333,98.33333333333333,1.6666666666666667
PSYC 4880,36.0,100.0,0.0
PSYC 4890,66.33333333333333,95.0,2.0
PSYC 4930,89.0,94.0,5.0
PSYC 4980,72.66666666666667,83.66666666666667,16.166666666666668
PSYC 8100,95.0,101.0,0.0
PSYC 8410,90.0,100.0,0.0
PSYC 8610,80.0,100.0,0.0
PSYC 8620,47.0,100.0,0.0
PSYC 8720,90.0,100.0,0.0
RED 8000,78.0,95.0,4.0
RED 8100,73.0,100.0,0.0
RED 8160,44.0,100.0,0.0
RED 8890,70.0,100.0,0.0
REL 1010,46.0,91.66666666666666,6.333333333333333
REL 1020,74.0,100.0,0.0
REL 3010,40.0,86.0,3.0
REL 3030,42.0,89.0,0.0
REL 3070,33.0,88.0,11.0
REL 3130,77.0,97.5,1.5
REL 3150,50.0,94.0,6.0
REL 4010,63.0,88.0,0.0
RS 4010,89.0,89.0,11.0
RUD 8610,70.0,100.0,0.0
RUSS 1010,53.0,100.0,0.0
RUSS 3610,53.0,89.0,6.0
SCI 1000,83.0,98.0,0.0
SOC 2010,82.125,99.25,0.375
SOC 2040,96.0,98.0,0.0
SOC 2890,60.5,93.0,0.0
SOC 3020,61.75,98.25,0.0
SOC 3040,36.5,98.5,0.0
SOC 3100,63.0,100.0,0.0
SOC 3310,89.0,99.0,0.0
SOC 3500,70.0,89.0,7.0
SOC 3510,40.0,92.0,2.0
SOC 3600,78.0,99.0,0.0
SOC 3840,88.0,100.0,0.0
SOC 3920,54.0,97.0,4.0
SOC 3940,53.0,98.0,0.0
SOC 3970,67.0,93.0,2.0
SOC 4010,78.0,100.0,0.0
SOC 4030,71.0,96.0,0.0
SOC 4040,42.0,86.0,0.0
SOC 4060,63.0,89.0,13.0
SOC 4140,55.0,100.0,0.0
SOC 4440,81.0,96.0,2.0
SOC 4600,82.33333333333333,99.33333333333333,0.6666666666666666
SOC 4610,95.0,98.0,3.0
SOC 4850,54.0,93.0,8.0
SOC 4860,80.0,80.0,20.0
SOC 4950,93.0,93.0,0.0
SPAN 1010,83.0,97.5,2.5
SPAN 1020,69.08333333333333,94.25,2.0833333333333335
SPAN 2010,63.25,92.5,5.375
SPAN 2020,70.5,98.91666666666667,0.4166666666666667
SPAN 3020,56.5,95.0,5.5
SPAN 3040,71.0,100.0,0.0
SPAN 3050,79.0,97.75,1.25
SPAN 3060,91.0,100.0,0.0
SPAN 3070,54.0,93.0,4.0
SPAN 3080,77.0,100.0,0.0
SPAN 3150,86.0,95.0,5.0
SPAN 3160,80.0,100.0,0.0
SPAN 3180,57.0,91.0,10.0
SPAN 4180,87.0,101.0,0.0
SPAN 4190,76.0,88.0,0.0
SPAN 4350,53.0,101.0,0.0
